,Variables,Coef,Coef_abs
7,MDTENSILESTRENGTH,0.0003111449211890065,0.0003111449211890065
4,Extvacuum,0.00029736449710224646,0.00029736449710224646
5,LineSpeed,0.00014500739243074497,0.00014500739243074497
8,TDTENSILESTRENGTH,-0.00011942613583786753,0.00011942613583786753
9,MDELONGATION,-0.00010138156022767992,0.00010138156022767992
14,HEATSEALSTRENGTH,-3.800503851466971e-05,3.800503851466971e-05
1,Extoutput,-2.002771402527235e-05,2.002771402527235e-05
12,TDMODULUSOFELASTICITY,8.123470345731492e-06,8.123470345731492e-06
11,MDMODULUSOFELASTICITY,-4.779303785496997e-07,4.779303785496997e-07
17,M.POutletPr.,0.0,0.0
23,T36RM,0.0,0.0
22,2sigma,0.0,0.0
21,TDDS,-0.0,0.0
20,TDOS,-0.0,0.0
19,MDGAP3,-0.0,0.0
18,MDGAP2,-0.0,0.0
0,ExtTorque,0.0,0.0
16,MeltTemp.,-0.0,0.0
15,SasolHPRM,-0.0,0.0
13,SealInitiationTemp,0.0,0.0
10,TDELONGATION,-0.0,0.0
6,GV,-0.0,0.0
3,Bathtemp,0.0,0.0
2,Chillrolltemp,0.0,0.0
24,RPGRM,0.0,0.0
