,Variables,Coef,Coef_abs
4,Extvacuum,0.0020341610592419165,0.0020341610592419165
5,LineSpeed,0.0009987330745636137,0.0009987330745636137
7,MDTENSILESTRENGTH,0.0007548840191978468,0.0007548840191978468
9,MDELONGATION,-0.0005035103575581962,0.0005035103575581962
8,TDTENSILESTRENGTH,-0.00023910120481034205,0.00023910120481034205
14,HEATSEALSTRENGTH,-0.00013383004445923662,0.00013383004445923662
1,Extoutput,-2.6362829728823493e-05,2.6362829728823493e-05
12,TDMODULUSOFELASTICITY,1.182224809034197e-05,1.182224809034197e-05
11,MDMODULUSOFELASTICITY,-1.9995619896320238e-06,1.9995619896320238e-06
17,M.POutletPr.,0.0,0.0
23,T36RM,0.0,0.0
22,2sigma,0.0,0.0
21,TDDS,-0.0,0.0
20,TDOS,-0.0,0.0
19,MDGAP3,-0.0,0.0
18,MDGAP2,-0.0,0.0
0,ExtTorque,-0.0,0.0
16,MeltTemp.,-0.0,0.0
15,SasolHPRM,-0.0,0.0
13,SealInitiationTemp,0.0,0.0
10,TDELONGATION,-0.0,0.0
6,GV,0.0,0.0
3,Bathtemp,-0.0,0.0
2,Chillrolltemp,-0.0,0.0
24,RPGRM,0.0,0.0
